J0000+0000_cw_p_phase	J0000+0000_cw_p_phase_ll	J0000+0000_cw_p_phase_ul	J0224+0000_cw_p_phase	J0224+0000_cw_p_phase_ll	J0224+0000_cw_p_phase_ul	J0448+0000_cw_p_phase	J0448+0000_cw_p_phase_ll	J0448+0000_cw_p_phase_ul	J0712+0000_cw_p_phase	J0712+0000_cw_p_phase_ll	J0712+0000_cw_p_phase_ul	J0936+0000_cw_p_phase	J0936+0000_cw_p_phase_ll	J0936+0000_cw_p_phase_ul	J1200+0000_cw_p_phase	J1200+0000_cw_p_phase_ll	J1200+0000_cw_p_phase_ul	J1424+0000_cw_p_phase	J1424+0000_cw_p_phase_ll	J1424+0000_cw_p_phase_ul	J1648+0000_cw_p_phase	J1648+0000_cw_p_phase_ll	J1648+0000_cw_p_phase_ul	J1912+0000_cw_p_phase	J1912+0000_cw_p_phase_ll	J1912+0000_cw_p_phase_ul	J2136+0000_cw_p_phase	J2136+0000_cw_p_phase_ll	J2136+0000_cw_p_phase_ul	cos_gwtheta	cos_gwtheta_ll	cos_gwtheta_ul	cos_inc	cos_inc_ll	cos_inc_ul	gwphi	gwphi_ll	gwphi_ul	log10_Mc	log10_Mc_ll	log10_Mc_ul	log10_fgw	log10_fgw_ll	log10_fgw_ul	log10_h	log10_h_ll	log10_h_ul	phase0	phase0_ll	phase0_ul	psi	psi_ll	psi_ul
3.133269206577015	nan	nan	3.133216997375924	nan	nan	0.850979321694372	0.010220302658579598	1.2801037244266078	3.1332606707927835	nan	nan	0.3430427654011043	nan	nan	0.15984780765093776	nan	nan	0.12977566312273514	0.009861360244429346	0.8698717511997786	0.11550426216590728	0.010583140000407408	0.3824910462477596	3.058220844741984	2.9304770101705455	3.133180552069967	0.19105869193255695	0.01087957879588946	0.7253506548040267	-0.9938089823009814	nan	nan	0.9948441844915508	nan	nan	5.013161505719918	4.872417401758208	5.196925505609549	7.886284017021693	nan	nan	-7.657827915904227	-7.686332455395724	-7.629128139840871	-13.411966462477789	nan	nan	5.874743738725771	4.295420429687192	6.2648927775198855	1.3734733696429544	nan	nan
2.4276044349948194	1.8081414522742247	3.1329304823566257	1.3148419021218818	nan	nan	2.983048078165606	nan	nan	1.2731729153169997	0.9330115517500885	1.6261176115202476	0.8952574037582298	0.7167311624807321	1.3375155923774857	0.6999335660282842	0.5791665100089074	1.6869780057938881	0.7012316685004433	nan	nan	0.9425629802772891	nan	nan	0.2202002123644286	nan	nan	0.35530764500745277	0.009878983243288337	1.1704693151742422	0.9950627058480837	0.9423358393299457	0.9950627058480837	0.3980823363058478	nan	nan	3.683393376590473	nan	nan	7.8522884086702645	7.79729614434442	7.924389377453038	-7.6562479967305	-7.683681420932239	-7.629556016426106	-13.850780412708156	-14.095200557087601	-13.742468740885109	0.9203353580400023	0.45822475790629014	1.6796954793408052	0.01024028838405072	0.01024028838405072	0.6964281065063928
1.0377268686153673	0.8330424931520691	1.5257104285537055	2.48752737641045	1.667314832135543	2.786127221165519	0.5059033425632358	0.19720011283968567	1.0508940797698267	0.8957749988174127	0.00990485883665512	1.501140418874785	0.3700457618716367	nan	nan	1.6913505694485127	0.8666397261980202	2.7305924044873757	2.712439215536616	nan	nan	0.6861637781816513	nan	nan	0.625530230729415	nan	nan	2.0002426515252596	1.5830818334303631	2.3098609718160668	0.5264383476889722	nan	nan	0.9461453058387548	nan	nan	6.2664941255972035	nan	nan	7.785826151985354	nan	nan	-7.655072518253835	-7.662578858130796	-7.645717602138519	-14.347443537692817	nan	nan	5.305363894540603	2.6042342505755007	6.061055656204828	2.205830641442437	nan	nan
0.8260386082215001	0.6038950867171262	1.1619876530489897	2.637492540887031	2.3801138393236787	3.133196423631012	0.7006687088639659	0.2980446444755647	1.3762900054288318	0.46037938023114106	nan	nan	0.009868695990534661	nan	nan	0.13014290398844702	0.009887739622262678	0.4821625669512776	0.11524634778401192	0.009980875133497437	0.3073480263598767	2.9530188704679188	2.7759274345783775	3.1332336121050712	0.3183655271753361	0.19180027121973467	0.4833269843758953	2.578222820326941	2.3832684966753543	2.7169812938549147	0.5620366902218532	0.4600556100713715	0.6747441948151642	-0.9934646167463199	nan	nan	5.113994362800513	4.893475855327578	5.2868631425280395	6.510611905033105	nan	nan	-7.657650234634202	-7.657650234634202	-7.642127293656307	-14.115025981846268	-14.206419784194612	-13.928340063305336	5.696547707240986	nan	nan	2.9226547358209696	nan	nan
1.3427639025578468	1.0004646641820476	1.717076738767354	0.17509658850329135	0.009869824456548826	0.9565660849965801	2.7578290226253777	1.8210866421980465	3.133275618581914	1.571178698144833	0.6304787575840577	2.4828331226125964	1.8868308438534087	1.1090903514601012	3.133089705158347	1.7665587168164443	nan	nan	1.6767352534379685	nan	nan	0.7470662681326266	nan	nan	2.5778055590099287	1.7762917266270317	3.1331803033500654	1.6468159673871312	1.332972739124569	2.4890400336797978	-0.5919984289574645	nan	nan	-0.993725400346084	nan	nan	6.176413614905056	5.990246101783539	6.266373755473843	8.013520759316823	7.8875376869275815	8.062339199867653	-7.6573546766602565	-7.675213542251904	-7.63949581106861	-14.215664698550734	-14.31424419762288	-14.077979282491288	5.372663482969006	nan	nan	1.8414332510016302	1.3812574503251733	2.2650822072553285
0.20522800258149684	nan	nan	2.757532602508099	nan	nan	1.7375392590683836	1.2471122354562798	2.3943555911370447	1.2413903590373137	nan	nan	2.1420911817335986	1.0847270818210304	3.1179273554786096	2.006762837002435	nan	nan	1.6017847670067347	nan	nan	2.052079800158143	nan	nan	1.4827712264741835	1.2218513417190653	2.583253898300195	1.482390032450582	nan	nan	0.6227213915569539	0.5775882763131407	0.6785640595704855	0.9958948687068377	0.7231869429451212	0.9958948687068377	6.267316347290184	6.102925206782241	6.267316347290184	8.507379138777926	8.469692832302021	8.567719573303954	-7.652101699766019	-7.679779882285949	-7.62811394158208	-14.25843005376243	-14.31871459821799	-14.167679126625027	3.8641145541975392	1.96930128218885	5.55096051586381	1.1029585963084547	nan	nan
0.5054669844587691	nan	nan	1.5746632725904366	nan	nan	0.8697484836817484	nan	nan	3.072841273179558	nan	nan	0.009924612623741317	0.009924612623741317	0.7408474983565492	0.11524377025258634	nan	nan	0.20513995324790957	nan	nan	0.44529830542094156	nan	nan	0.40068255864999663	nan	nan	0.5095975758960678	0.2234308876599461	1.4898508235209984	0.8225789623351907	0.6335451490828656	0.9088494274436343	0.11489202255608055	nan	nan	1.665551472710529	nan	nan	7.794083239042584	7.178718350417823	7.887044085292744	-7.658311297918987	-7.687077328097968	-7.630630778312798	-13.666721904856665	-13.871901339113789	-13.582843519782998	4.014335610056444	nan	nan	0.8960189200900702	nan	nan
1.7518265560193818	nan	nan	2.1424911652753695	nan	nan	0.35538948379526913	nan	nan	0.009971804924619281	nan	nan	2.217320498481346	nan	nan	2.4418015855132698	1.3162674994158294	3.1326121844165824	1.82701640968576	1.019577660090988	2.7022362844882943	0.010055027310312535	nan	nan	2.6378958040002436	nan	nan	1.1360802276798687	nan	nan	0.9945260395714443	nan	nan	0.3307740097937863	nan	nan	2.71397049836085	2.500916292369366	2.8642600869115986	8.381474863625568	8.325275599502381	8.449382307774417	-7.647233042900983	-7.678308474480141	-7.622561033586622	-14.019665270605522	-14.268427963270055	-13.901594598146087	4.614259294142234	nan	nan	0.010073116628659985	nan	nan
1.3646188641751964	1.2088705149149197	1.6510397998452584	2.4971495238397208	2.357348944656426	2.6467822316688743	1.740342433888694	1.4245149068970715	2.0399955053200984	1.708165159981176	1.3586705865089668	2.037724214110942	2.607523923242069	2.1289759359336897	3.1332394993778414	0.05486357136221412	nan	nan	3.0133048023700826	nan	nan	2.186719197760022	1.8915996824576942	2.5183773197188293	3.133235350177271	nan	nan	1.328097797668074	1.06080739683756	1.6511109464978142	0.6226711896816249	0.5365419138557405	0.7388152131438023	0.49896903778777746	nan	nan	6.266484849210272	5.9085271190178545	6.266484849210272	6.64096560597685	nan	nan	-7.651887897018514	-7.675114338195731	-7.6314722990410875	-14.178057962441589	-14.322897512128971	-14.075200890924464	4.660341984682218	nan	nan	0.4804885425823178	0.31555954805570674	0.7466437982998648
0.8459669344793503	0.7156577925801924	1.018390037929056	1.6684357557211968	1.4300286160758109	1.9990310594804201	1.6796236709094483	1.2591777319226916	2.1405870095020454	0.7609890495793418	0.40032865416285435	1.354081966263375	2.8181137969225536	nan	nan	1.3011716179349038	0.495903789591408	2.3438341512982044	0.6405595122299096	0.009896510520233765	1.6729226725322766	0.5807806096127572	0.18504016106086774	1.2841803650498962	2.12754001758044	1.7824774192585602	2.555355184730644	2.442730964108705	2.268073528627542	2.647641562521426	0.5502047073353331	0.4645057816305562	0.6343629781959792	0.994777794054818	0.6534122605269055	0.994777794054818	6.266485209687037	nan	nan	7.850825893513506	nan	nan	-7.655798845626839	-7.685868553816715	-7.632069136151695	-14.299996759715377	-14.352294166457252	-14.135963528127405	0.4102300187354805	0.01979742847688485	2.045049360666272	1.083936542171002	nan	nan
